27/08/1987,14.7,0,5.7,13,Moderate,35,87,6,2700,1021,350,N,360,N
28/08/1987,13.9,0,8.9,5,Light,16,98,4,3400,1028,280,W,270,W
29/08/1987,14.8,tr,9,6,Light,17,94,5,3100,1026,340,NNW,350,N
30/08/1987,16.3,0,7.7,9,Light,32,99,4,1200,1022,90,E,90,E
31/08/1987,16.5,3.9,3.6,21,Fresh,39,91,5,500,1015,100,E,100,E
01/09/1987,16.7,0.2,0,4,Light,n/a,100,8,500,1014,320,NW,110,ESE
02/09/1987,17.3,3.5,2.5,6,Light,21,100,8,700,1017,190,S,NA,#N/A
03/09/1987,17.6,0.1,7.8,12,Moderate,27,98,6,1600,1013,180,S,180,S
04/09/1987,15.4,13.8,8.1,11,Moderate,30,87,6,2700,1017,200,SSW,200,SSW
05/09/1987,15.7,0.3,8.9,13,Moderate,78,97,5,2100,1010,270,W,220,SW
06/09/1987,15.2,11.8,0,13,Moderate,35,97,7,1800,1015,210,SSW,170,S
07/09/1987,15.3,0.2,0.1,3,Light,n/a,98,7,2000,1019,250,WSW,320,NW
08/09/1987,13.9,1.8,2.2,2,Light,n/a,99,6,3300,1022,170,S,310,NW
09/09/1987,13.9,tr,3.8,10,Light,29,98,6,3700,1018,190,S,200,SSW
10/09/1987,15.2,tr,8.2,10,Light,24,89,6,4000,1017,240,WSW,260,W
11/09/1987,16.2,1.9,0.3,17,Fresh,46,98,7,2000,1011,180,S,170,S
12/09/1987,16.5,6,0,12,Moderate,38,98,8,1400,1008,230,SW,210,SSW
13/09/1987,14.3,0.3,1.7,2,Light,n/a,98,7,2500,1012,320,NW,320,NW
14/09/1987,14.3,tr,9.7,8,Light,25,94,4,3900,1019,200,SSW,260,W
15/09/1987,14.2,1,1.2,7,Light,20,94,7,3500,1023,170,S,170,S
16/09/1987,15.1,0.4,0.1,10,Light,22,97,8,1700,1020,100,E,100,E
17/09/1987,16.6,0.4,0.1,10,Light,23,100,8,500,1018,210,SSW,250,WSW
18/09/1987,15.5,2.5,9.1,7,Light,19,99,7,3100,1025,350,N,360,N
19/09/1987,16.3,0.3,4,10,Light,31,95,6,2000,1018,110,ESE,110,ESE
20/09/1987,15.9,0.1,0,8,Light,21,100,6,200,1013,210,SSW,NA,#N/A
21/09/1987,17.2,3.8,0.5,16,Moderate,33,97,8,700,1008,180,S,180,S
22/09/1987,14.2,4.2,8.8,9,Light,26,92,3,3200,1013,200,SSW,200,SSW
23/09/1987,14.6,2.9,4.9,10,Light,26,90,5,3100,1008,220,SW,220,SW
24/09/1987,13.6,0.2,8.7,9,Light,25,89,3,4500,1009,250,WSW,280,W
25/09/1987,10.6,0.2,9.6,6,Light,17,93,3,6000,1010,350,N,350,N
26/09/1987,10.2,0.1,8.7,7,Light,26,86,3,5500,1015,50,NE,360,N
27/09/1987,11.3,0,3.7,4,Light,13,89,5,4600,1025,60,ENE,350,N
28/09/1987,10.6,tr,0.4,2,Light,n/a,78,6,3400,1028,90,E,350,N
29/09/1987,11.2,0,8.6,9,Light,25,81,2,1700,1027,90,E,90,E
30/09/1987,11.8,0,3.7,10,Light,30,88,6,2400,1020,120,ESE,120,ESE
01/10/1987,12.7,0,8.2,9,Light,24,87,4,1700,1019,110,ESE,120,ESE
02/10/1987,13.8,12.2,0.3,13,Moderate,32,94,6,400,1015,90,E,90,E
03/10/1987,14.5,14,0,14,Moderate,37,99,8,200,1015,80,E,90,E
04/10/1987,15.0,tr,6.5,13,Moderate,28,98,5,1500,1009,140,SE,110,ESE
05/10/1987,15.3,6.3,4.8,14,Moderate,35,94,6,2100,1001,140,SE,170,S
06/10/1987,12.5,20.5,7.3,13,Moderate,41,93,6,2800,1001,270,W,300,WNW
07/10/1987,12.3,12.8,1.4,17,Fresh,44,99,7,1500,991,220,SW,NA,#N/A
08/10/1987,10.8,7,5.9,21,Fresh,52,89,6,2000,998,290,WNW,290,WNW
09/10/1987,10.7,11.4,0,14,Moderate,34,91,8,1800,998,200,SSW,190,S
10/10/1987,9.4,5.2,6.3,13,Moderate,32,76,6,3900,996,330,NNW,310,NW
11/10/1987,8.9,2.1,2.9,8,Light,19,91,6,4700,1001,170,S,170,S
12/10/1987,11.2,2.2,5.3,9,Light,23,95,4,3600,1004,220,SW,210,SSW
13/10/1987,10.4,4.8,7.1,13,Moderate,34,93,4,2600,1001,230,SW,260,W
14/10/1987,8.9,14.9,0,13,Moderate,36,95,6,2000,994,150,SSE,110,ESE
15/10/1987,8.5,30.2,0,11,Moderate,53,93,7,4000,981,40,NE,NA,#N/A
16/10/1987,9.7,0.6,7.4,16,Moderate,59,97,5,3600,989,220,SW,320,NW
17/10/1987,10.8,15.7,5.6,18,Fresh,55,95,6,3100,1008,170,S,180,S
18/10/1987,12.8,36.4,0,21,Fresh,54,98,8,1200,1003,180,S,180,S
19/10/1987,12.9,12.3,0.2,12,Moderate,36,99,8,1200,1005,160,SSE,170,S
20/10/1987,11.5,1.3,4.4,4,Light,14,99,5,1900,1005,160,SSE,NA,#N/A
21/10/1987,10.3,0.6,5.1,10,Light,29,96,6,3900,1007,290,WNW,290,WNW
22/10/1987,9.2,0,7.7,n/a,n/a,n/a,89,3,5100,1017,190,S,220,SW
23/10/1987,7.9,0,9.1,4,Light,15,84,2,5700,1021,50,NE,10,N
24/10/1987,7.3,0,9.2,3,Light,n/a,79,1,4800,1026,80,E,80,E
25/10/1987,8.0,0,8.6,6,Light,19,93,2,2000,1025,140,SE,180,S
26/10/1987,9.7,6.8,0,9,Light,19,92,6,1100,1018,170,S,170,S
27/10/1987,10.5,7.4,0,9,Light,29,96,7,1600,1010,310,NW,320,NW
28/10/1987,8.5,tr,7.8,8,Light,22,87,2,5200,1018,170,S,140,SE
29/10/1987,9.9,1,0.3,14,Moderate,29,89,7,3000,1014,140,SE,140,SE
30/10/1987,11.5,9.3,0,13,Moderate,28,95,7,900,1011,130,SE,120,ESE
31/10/1987,12.0,3.5,0.6,5,Light,17,100,7,800,1014,150,SSE,310,NW


n/a = data not available,,,,,,,,,,,,,,
"tr = a trace of rain, an amount less than 0.05mm",,,,,,,,,,,,,,




















































































































































































HEATHROW                           © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 5076E 1767N,,,,,,,,,,,,,,
Altitude = 25 metres,,,,,,,,,,,,,,
Latitude = 51:48N Longitude = 00:45W,,,,,,,,,,,,,,

Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/1987,14.6,1.6,n/a,n/a,n/a,n/a,96,7,1300,1017,210,SSW,230,SW
02/05/1987,8.8,1.9,n/a,n/a,n/a,n/a,97,4,2500,1014,250,WSW,290,WNW
03/05/1987,7.2,2.2,n/a,n/a,n/a,n/a,91,5,2100,1023,340,NNW,330,NNW
04/05/1987,7.3,0,n/a,n/a,n/a,n/a,82,2,2800,1032,350,N,10,N
05/05/1987,10.1,0,n/a,n/a,n/a,n/a,76,7,2400,1033,330,NNW,20,NNE
06/05/1987,11.9,0,n/a,n/a,n/a,n/a,94,4,1100,1032,320,NW,290,WNW
07/05/1987,12.2,0,n/a,n/a,n/a,n/a,91,2,1900,1031,20,NNE,30,NNE
08/05/1987,12.1,0,n/a,n/a,n/a,n/a,95,0,1300,1026,180,S,190,S
09/05/1987,15.2,0,n/a,n/a,n/a,n/a,93,3,1200,1016,0,N,220,SW
10/05/1987,11.1,tr,n/a,n/a,n/a,n/a,77,5,3200,1015,320,NW,350,N
11/05/1987,10.6,2.5,n/a,n/a,n/a,n/a,96,7,1900,1011,240,WSW,220,SW
12/05/1987,12.7,2.8,n/a,n/a,n/a,n/a,95,6,1900,1002,290,WNW,310,NW
13/05/1987,8.9,9.9,n/a,n/a,n/a,n/a,94,4,2300,1011,280,W,290,WNW
14/05/1987,10.0,5.2,n/a,n/a,n/a,n/a,96,7,2000,1002,310,NW,240,WSW
15/05/1987,9.5,0.3,n/a,n/a,n/a,n/a,91,6,1500,1008,330,NNW,310,NW
16/05/1987,9.3,tr,n/a,n/a,n/a,n/a,92,6,2100,1014,270,W,190,S
17/05/1987,10.9,4.7,n/a,n/a,n/a,n/a,96,8,2200,1012,210,SSW,200,SSW
18/05/1987,10.7,2.2,1.2,7,Light,21,97,8,1100,1012,360,N,360,N
19/05/1987,11.9,0,7.4,6,Light,23,91,5,1600,1022,360,N,360,N
20/05/1987,9.5,0.1,10,6,Light,20,81,5,2600,1030,350,N,360,N
21/05/1987,10.4,0.1,3.6,8,Light,27,86,6,2200,1026,350,N,350,N
22/05/1987,9.7,5.9,2.6,8,Light,23,88,6,1600,1021,30,NNE,50,NE
23/05/1987,9.8,2.5,0,5,Light,14,92,8,1000,1020,40,NE,40,NE
24/05/1987,13.1,0,5.9,9,Light,21,92,6,1300,1017,80,E,90,E
25/05/1987,12.6,0,0.9,3,Light,13,89,6,800,1019,70,ENE,60,ENE
26/05/1987,15.9,0.3,5.1,7,Light,24,95,7,800,1016,50,NE,90,E
27/05/1987,14.9,0,12.3,5,Light,12,82,7,2000,1015,20,NNE,90,E
28/05/1987,13.5,tr,3.4,4,Light,15,93,6,700,1018,270,W,320,NW
29/05/1987,14.2,0,10.4,6,Light,16,93,5,2400,1023,290,WNW,270,W
30/05/1987,16.8,11.9,5.8,8,Light,26,94,7,2900,1021,220,SW,210,SSW
31/05/1987,16.2,0,7.9,5,Light,19,99,6,2000,1019,250,WSW,260,W
01/06/1987,15.4,tr,7.7,6,Light,18,91,7,2300,1021,250,WSW,240,WSW
02/06/1987,13.7,3.7,0,6,Light,20,96,8,1200,1016,180,S,210,SSW
03/06/1987,14.8,0.3,2.7,7,Light,21,93,7,2000,1007,210,SSW,270,W
04/06/1987,15.5,13.2,6.7,5,Light,23,96,6,1800,1005,210,SSW,340,NNW
05/06/1987,11.7,6.5,0,7,Light,23,96,7,1000,1009,130,SE,170,S
06/06/1987,14.2,tr,7.8,15,Moderate,40,95,6,2400,1003,210,SSW,190,S
07/06/1987,14.0,2.2,4.9,9,Light,28,81,6,3600,1004,230,SW,200,SSW
08/06/1987,12.1,4.2,0.3,4,Light,15,95,8,1600,1004,270,W,270,W
09/06/1987,11.3,1.9,0.2,3,Light,16,97,7,900,1004,40,NE,250,WSW
10/06/1987,11.3,2.8,8.7,4,Light,20,99,6,2600,1007,180,S,150,SSE
11/06/1987,13.9,3.6,3.3,3,Light,14,97,7,1000,1013,290,WNW,280,W
12/06/1987,12.5,tr,8.7,3,Light,12,97,4,1900,1018,270,W,240,WSW
13/06/1987,13.0,tr,6,4,Light,16,92,5,1300,1014,350,N,310,NW
14/06/1987,13.9,0.3,5.5,4,Light,14,92,6,2400,1012,120,ESE,160,SSE
15/06/1987,12.2,tr,4.2,5,Light,21,97,6,1200,1011,20,NNE,50,NE
16/06/1987,11.7,5.5,10.3,5,Light,21,91,5,2300,1018,320,NW,280,W
17/06/1987,12.6,3.6,2.8,5,Light,21,97,7,1600,1016,320,NW,350,N
18/06/1987,13.5,7.3,2.6,5,Light,18,96,6,2100,1013,250,WSW,190,S
19/06/1987,13.8,1.7,0.1,8,Light,26,99,8,1300,1000,350,N,340,NNW
20/06/1987,14.4,2.8,8.7,5,Light,20,92,5,1900,1012,240,WSW,350,N
21/06/1987,14.9,tr,4.6,4,Light,15,97,6,2800,1017,210,SSW,260,W
22/06/1987,13.2,3.8,2.9,5,Light,18,96,7,1500,1020,240,WSW,280,W
